State,Season,MMWR Week,Week ending date,Age Category,Sex,Race,Rate,Cumulative Rate
Georgia,2022-2023,16,04/22/2023 12:00:00 AM,Overall,Overall,Overall,0.1,22.9
Georgia,2022-2023,17,04/29/2023 12:00:00 AM,Overall,Overall,Overall,0.1,23
Georgia,2022-2023,18,05/06/2023 12:00:00 AM,Overall,Overall,Overall,0.1,23.1
Georgia,2022-2023,19,05/13/2023 12:00:00 AM,Overall,Overall,Overall,0.2,23.3
Georgia,2022-2023,20,05/20/2023 12:00:00 AM,Overall,Overall,Overall,0.2,23.5
Georgia,2022-2023,21,05/27/2023 12:00:00 AM,Overall,Overall,Overall,0.1,23.7
Georgia,2022-2023,22,06/03/2023 12:00:00 AM,Overall,Overall,Overall,0.1,23.8
Georgia,2022-2023,23,06/10/2023 12:00:00 AM,Overall,Overall,Overall,0.1,23.9
Georgia,2022-2023,24,06/17/2023 12:00:00 AM,Overall,Overall,Overall,0.2,24.1
Georgia,2022-2023,25,06/24/2023 12:00:00 AM,Overall,Overall,Overall,0.2,24.4
Georgia,2022-2023,26,07/01/2023 12:00:00 AM,Overall,Overall,Overall,0.2,24.6
Georgia,2022-2023,27,07/08/2023 12:00:00 AM,Overall,Overall,Overall,0.1,24.7
Georgia,2022-2023,28,07/15/2023 12:00:00 AM,Overall,Overall,Overall,0.1,24.8
Georgia,2022-2023,29,07/22/2023 12:00:00 AM,Overall,Overall,Overall,0.2,25
Georgia,2022-2023,30,07/29/2023 12:00:00 AM,Overall,Overall,Overall,0.3,25.3
Georgia,2022-2023,31,08/05/2023 12:00:00 AM,Overall,Overall,Overall,0.2,25.6
Georgia,2022-2023,32,08/12/2023 12:00:00 AM,Overall,Overall,Overall,0.4,26
Georgia,2022-2023,33,08/19/2023 12:00:00 AM,Overall,Overall,Overall,0.7,26.7
Georgia,2022-2023,34,08/26/2023 12:00:00 AM,Overall,Overall,Overall,0.6,27.4
Georgia,2022-2023,35,09/02/2023 12:00:00 AM,Overall,Overall,Overall,1.2,28.6
Georgia,2022-2023,36,09/09/2023 12:00:00 AM,Overall,Overall,Overall,1.4,30
Georgia,2022-2023,37,09/16/2023 12:00:00 AM,Overall,Overall,Overall,1.6,31.6
Georgia,2022-2023,38,09/23/2023 12:00:00 AM,Overall,Overall,Overall,2.3,33.9
Georgia,2022-2023,39,09/30/2023 12:00:00 AM,Overall,Overall,Overall,2.7,36.6
Maryland,2022-2023,40,10/08/2022 12:00:00 AM,Overall,Overall,Overall,1.6,1.6
Maryland,2022-2023,41,10/15/2022 12:00:00 AM,Overall,Overall,Overall,3.8,5.3
Maryland,2022-2023,42,10/22/2022 12:00:00 AM,Overall,Overall,Overall,3.9,9.2
Maryland,2022-2023,43,10/29/2022 12:00:00 AM,Overall,Overall,Overall,5.1,14.3
Maryland,2022-2023,44,11/05/2022 12:00:00 AM,Overall,Overall,Overall,5.2,19.5
Maryland,2022-2023,45,11/12/2022 12:00:00 AM,Overall,Overall,Overall,4.7,24.2
Maryland,2022-2023,46,11/19/2022 12:00:00 AM,Overall,Overall,Overall,4.2,28.4
Maryland,2022-2023,47,11/26/2022 12:00:00 AM,Overall,Overall,Overall,3.2,31.6
Maryland,2022-2023,48,12/03/2022 12:00:00 AM,Overall,Overall,Overall,3,34.6
Maryland,2022-2023,49,12/10/2022 12:00:00 AM,Overall,Overall,Overall,2.4,37
Maryland,2022-2023,50,12/17/2022 12:00:00 AM,Overall,Overall,Overall,2,39
Maryland,2022-2023,51,12/24/2022 12:00:00 AM,Overall,Overall,Overall,1.1,40
Maryland,2022-2023,52,12/31/2022 12:00:00 AM,Overall,Overall,Overall,0.8,40.8
Maryland,2022-2023,1,01/07/2023 12:00:00 AM,Overall,Overall,Overall,1.1,41.9
Maryland,2022-2023,2,01/14/2023 12:00:00 AM,Overall,Overall,Overall,0.5,42.5
